54,티칼,Tikal,https://cf.geekdo-images.com/ajU3xzGDUKihjNdvjCR1Hw__original/img/6dCgK1EESbk9GNuCiwQ4XiqIW3Y=/0x0/filters:format(jpeg)/pic3328391.jpg,1999,"",2,4,90,90,10,false,2.7781,7.32387,0,2024-12-03 17:23:06.985227,2024-12-03 17:23:06.985227,Wolfgang Kramer
91,패스 오브 글로리,Paths of Glory,https://cf.geekdo-images.com/Ip4TygnwFxuR57Vky9ZeZA__original/img/MP1e5GdDAT-4QO734-n8_rUkMv8=/0x0/filters:format(jpeg)/pic4490515.jpg,1999,"",2,2,480,480,14,false,3.8507,8.06815,0,2024-12-03 17:23:14.921804,2024-12-03 17:23:14.921804,Ted Raicer
105,콜로설 아레나,Colossal Arena,https://cf.geekdo-images.com/SsmaQGmmqdcBmyJDd041YQ__original/img/-qRLT0PI62LJweiUG_xzF8h3F_g=/0x0/filters:format(jpeg)/pic1680709.jpg,1997,"",2,5,40,60,8,false,2.0203,6.7608,0,2024-12-03 17:28:30.936648,2024-12-03 17:28:30.936648,Reiner Knizia
113,플로터스 주식회사,"Plotters, Inc.",https://cf.geekdo-images.com/s_iMDLyXrvDyd5R1UU48ww__original/img/mhnypXcmsRANJJgnVcjAEmBI1Ks=/0x0/filters:format(png)/pic6518969.png,1999,"",4,6,60,60,10,false,1.8636,6.74684,0,2024-12-03 17:28:30.940558,2024-12-03 17:28:30.940558,Klaus Palesch
115,아임 더 보스,I'm the Boss!,https://cf.geekdo-images.com/BwLVB048K-u7s_VfRZZibQ__original/img/EvS_FoTsLPWZhIJZY9HVpiKzA7c=/0x0/filters:format(png)/pic7810845.png,1994,"",3,6,60,60,12,false,1.9653,6.77053,0,2024-12-03 17:28:30.941022,2024-12-03 17:28:30.941022,Sid Sackson
118,모던 아트,Modern Art,https://cf.geekdo-images.com/wLto-xaabHwKQe_Bc4iD1Q__original/img/s3Gai8XBTVfWFFlYpL4XF3kIlWU=/0x0/filters:format(png)/pic3458036.png,1992,"",3,5,45,45,10,false,2.2851,7.50821,0,2024-12-03 17:28:30.942047,2024-12-03 17:28:30.942047,Reiner Knizia
125,머니,Money!,https://cf.geekdo-images.com/spgIw75EFPR1TViSoe0Sgg__original/img/6lg_O2H2P93zc8j6W2nmBkYGyeI=/0x0/filters:format(jpeg)/pic8469504.jpg,1999,"",3,5,30,30,10,false,1.5484,6.54003,0,2024-12-03 17:28:34.750327,2024-12-03 17:28:34.750327,Reiner Knizia
128,테이크 잇 이지!,Take it Easy!,https://cf.geekdo-images.com/4uhHaI4jH-S9SqQ3s9dIrw__original/img/E9x2aqIuUK-msNMWo5UA8Ae_xLo=/0x0/filters:format(jpeg)/pic3108440.jpg,1983,"",1,8,20,20,10,false,1.4891,6.60331,0,2024-12-03 17:28:34.751138,2024-12-03 17:28:34.751138,Peter Burley
140,핏 딜럭스,Pit,https://cf.geekdo-images.com/LkEPNu7bPTS1rVRU_Ba-Dg__original/img/rLq4S5WQ8ns2Ez3n3RIwe1_ZI8Y=/0x0/filters:format(jpeg)/pic423644.jpg,1903,"",3,8,30,90,7,false,1.1542,6.39621,0,2024-12-03 17:28:34.751811,2024-12-03 17:28:34.751811,George S. Parker
152,라스트 팬서,Mü & More,https://cf.geekdo-images.com/URjVVHsHtozP-wQUcfWgSw__original/img/j910ii0qHFjP4m8rf8Sr8GW3ojA=/0x0/filters:format(jpeg)/pic149672.jpg,1995,"",2,8,60,60,11,false,2.5585,7.15403,0,2024-12-03 17:28:38.577735,2024-12-03 17:28:38.577735,Frank Nestel
171,체스,Chess,https://cf.geekdo-images.com/0-DjGBOko6RV8zg5ejhYIg__original/img/0pn_QgMuWaIJb2Q7aZNfORse0_o=/0x0/filters:format(jpeg)/pic260745.jpg,1475,"",2,2,0,0,6,false,3.6556,7.21614,0,2024-12-03 17:28:42.350000,2024-12-03 17:28:42.350000,(Uncredited)
172,투자왕 포세일,For Sale,https://cf.geekdo-images.com/dJh9HkZC346NgPTAicJq_A__original/img/6ib2NLakSlsf69WYwCOe9NNLcsc=/0x0/filters:format(jpeg)/pic1513085.jpg,1997,"",3,6,30,30,10,false,1.2533,7.25987,0,2024-12-03 17:28:42.352013,2024-12-03 17:28:42.352013,Stefan Dorra
175,독수리 눈치 싸움,What the Heck?,https://cf.geekdo-images.com/H8E6oM1nSZhTEObsWidbxQ__original/img/RrDKOO1rAqBiDP-eLdKUAShmLxo=/0x0/filters:format(png)/pic6796338.png,1988,"",2,5,20,20,7,false,1.1667,6.48239,0,2024-12-03 17:28:42.352779,2024-12-03 17:28:42.352779,Alex Randolph
181,리스크,Risk,https://cf.geekdo-images.com/Oem1TTtSgxOghRFCoyWRPw__original/img/Nu3eXPyOkhtnR3hhpUrtgqRMAfs=/0x0/filters:format(jpeg)/pic4916782.jpg,1959,"",2,6,120,120,10,false,2.0657,5.59655,0,2024-12-03 17:28:46.311134,2024-12-03 17:28:46.311134,Michael I. Levin
188,바둑,Go,https://cf.geekdo-images.com/6qAiZwWxSSKP2kFcA80cZg__original/img/oClfNpLGqRwyqeq54Na_VoVAA3o=/0x0/filters:format(jpeg)/pic1728832.jpg,-2200,"",2,2,30,180,8,false,3.9336,7.65441,0,2024-12-03 17:28:46.313261,2024-12-03 17:28:46.313261,(Uncredited)
199,맨해튼,Manhattan,https://cf.geekdo-images.com/J38tww49pGTsp3bmgEekkA__original/img/x-9leXy53NTZmlbwFWE3xxc2Twg=/0x0/filters:format(png)/pic3573055.png,1994,"",2,4,45,45,10,false,1.9244,6.72711,0,2024-12-03 17:28:46.313857,2024-12-03 17:28:46.313857,Andreas Seyfarth
201,장미 전쟁,The Rose King,https://cf.geekdo-images.com/vfFy_HLiBNLxptwxFDMmDg__original/img/P3_WKEg4RBXmBWIVE4pMhFD35x4=/0x0/filters:format(jpeg)/pic2855891.jpg,1992,"",2,2,30,30,10,false,1.9375,6.81042,0,2024-12-03 17:28:50.062919,2024-12-03 17:28:50.062919,Dirk Henn
206,할라피-노!,Jalape-NO!,https://cf.geekdo-images.com/_ysCHgcIA3319_0VeNy0bA__original/img/VW0c34B_sT0TjvsVBp7CkA2s5Xc=/0x0/filters:format(png)/pic6685640.png,1998,"",3,9,45,45,10,false,1.3684,6.19021,0,2024-12-03 17:28:50.065128,2024-12-03 17:28:50.065128,Wolfgang Kramer
215,티츄,Tichu,https://cf.geekdo-images.com/gz8_8iYP2SSGVAxpp7CwLg__original/img/9ULfNvkyu0k1m0d63-Mk0k5e0MA=/0x0/filters:format(png)/pic5854968.png,1991,"",4,4,60,60,10,false,2.3406,7.57489,0,2024-12-03 17:28:50.065515,2024-12-03 17:28:50.065515,Urs Hostettler
217,알라카르테,A la carte,https://cf.geekdo-images.com/BvXlvPrfHf-6Mhmthc3kJg__original/img/rbgGmxFgY_-3WGBoC5ljkjULFVk=/0x0/filters:format(jpeg)/pic599251.jpg,1989,"",2,4,30,30,8,false,1.2944,6.45822,0,2024-12-03 17:28:50.066113,2024-12-03 17:28:50.066113,Karl-Heinz Schmiel
220,하이 소사이어티,High Society,https://cf.geekdo-images.com/_3wm5Ikl8NtF6oTQ5KT-1g__original/img/Dv5M1RcWQ6UEZyd2eAey-OfSsrU=/0x0/filters:format(jpeg)/pic3894197.jpg,1995,"",3,5,15,30,10,false,1.4876,7.17707,0,2024-12-03 17:28:50.066618,2024-12-03 17:28:50.066618,Reiner Knizia
227,데스페라도,Knightmare Chess,https://cf.geekdo-images.com/1RIoXUoJnyhRukrcCbvuKw__original/img/hCjEgJ2CtzfwbrUTw3_fUXLBAsU=/0x0/filters:format(jpeg)/pic199970.jpg,1994,"",2,2,60,60,10,false,2.596,6.4452,0,2024-12-03 17:28:54.940501,2024-12-03 17:28:54.940501,Bruno Faidutti
265,인트리게,Intrigue,https://cf.geekdo-images.com/l8ki305GFjjmrRworLUzLw__original/img/8Gjm0OPOkdkuZBovbvB951n_g0g=/0x0/filters:format(jpeg)/pic182825.jpg,1994,"",3,5,45,45,14,false,1.928,6.37584,0,2024-12-03 17:29:02.596893,2024-12-03 17:29:02.596893,Stefan Dorra
320,스크래블 오리지널,Scrabble,https://cf.geekdo-images.com/mVmmntn2oQd0PfFrWBvwIQ__original/img/11jrKPiOVTNl5NwX83KGtTZEq40=/0x0/filters:format(jpeg)/pic404651.jpg,1948,"",2,4,90,90,10,false,2.0598,6.2685,0,2024-12-03 17:29:10.803389,2024-12-03 17:29:10.803389,Alfred Mosher Butts
321,두더지 땅 파기,The Mole in the Hole,https://cf.geekdo-images.com/Euh04jnKwlMUCxwRil6vcQ__original/img/S9Bn8WyG-HSDX_Z8x5l8aoWfxT4=/0x0/filters:format(jpeg)/pic187440.jpg,1995,"",2,4,30,30,8,false,1.2889,6.28323,0,2024-12-03 17:29:14.619766,2024-12-03 17:29:14.619766,Bertram Kaes
325,카탄 확장: 항해사,CATAN: Seafarers,https://cf.geekdo-images.com/yO6X6iObEb7PtECKCagMKg__original/img/-qVRY-CT5a9OgOHRg5qMaVaeOQg=/0x0/filters:format(jpeg)/pic2420293.jpg,1997,"",3,4,90,90,10,false,2.3754,7.15369,0,2024-12-03 17:29:14.621005,2024-12-03 17:29:14.621005,Klaus Teuber
327,루핑루이,Loopin' Louie,https://cf.geekdo-images.com/e9CWevSJC03NzLybnCKEVQ__original/img/FZ8ti8jTLQPuHuQHWDt0hE6YHDs=/0x0/filters:format(png)/pic4025029.png,1992,"",2,4,10,10,4,false,1.0522,6.7441,0,2024-12-03 17:29:14.622172,2024-12-03 17:29:14.622172,Carol Wiseley
337,벼룩서커스,Circus Flohcati,https://cf.geekdo-images.com/h-HgnES2sJu6_j_L00HYxA__original/img/CvJmtKrLzIITDXqIYJdFKAkR80s=/0x0/filters:format(jpeg)/pic7594785.jpg,1998,"",2,5,15,15,6,false,1.2283,6.66614,0,2024-12-03 17:29:14.623188,2024-12-03 17:29:14.623188,Reiner Knizia
354,슈티헤른,Stick 'Em,https://cf.geekdo-images.com/y9n_OHYdYjAZ4dEPadZ60w__original/img/zaPFle6nXVIoDXcDf2JXw4pwZ-E=/0x0/filters:format(png)/pic5282281.png,1993,"",3,8,30,60,10,false,1.9066,7.04848,0,2024-12-03 17:29:18.375211,2024-12-03 17:29:18.375211,Klaus Palesch
363,캣 블루스,Cat Blues,https://cf.geekdo-images.com/nwLMuyqj24tIk_zkZqsYPA__original/img/yn8dxFjwGCMOHaKnAJda6lJINV8=/0x0/filters:format(jpeg)/pic4899604.jpg,1998,"",2,6,30,30,10,false,1.4247,6.04694,0,2024-12-03 17:29:22.146737,2024-12-03 17:29:22.146737,Reiner Knizia
372,쇼텐 토텐,Schotten Totten,https://cf.geekdo-images.com/69mwXe7c6HNYmT6S35Y4zg__original/img/C5YBiD7Qhpkf5FO1GteEjo9KRVE=/0x0/filters:format(jpeg)/pic2932872.jpg,1999,"",2,2,20,20,8,false,1.6907,7.35544,0,2024-12-03 17:29:22.147493,2024-12-03 17:29:22.147493,Reiner Knizia
394,카후나,Kahuna,https://cf.geekdo-images.com/UdhhVlmQihMbvlNSvY1lUA__original/img/eFUPl6jyG6enyuTqqEE-4vGw7NI=/0x0/filters:format(jpeg)/pic2606165.jpg,1998,"",2,2,30,40,10,false,2.0494,6.61098,0,2024-12-03 17:29:26.931715,2024-12-03 17:29:26.931715,Günter Cornett
398,동물왕 와일드 사파리,Wildlife Safari,https://cf.geekdo-images.com/gQJDSsdGmD95yZmetiGsRg__original/img/utaTB4H_KVSB5ZY5VQHnc0ATLNw=/0x0/filters:format(png)/pic8550221.png,1994,"",2,5,20,30,7,false,1.2892,6.74092,0,2024-12-03 17:29:26.932716,2024-12-03 17:29:26.932716,Reiner Knizia
